ID,PRC2017,PRC2016,REMARK
134,10204200,10204200,
135,10311110,10311110,
136,10311130,10311130,
137,10311200,10311200,
138,10311300,10311300,
139,10311430,10311430,
140,10311460,10311460,
141,10321100,10321100,
142,10321210,10321210,
143,10321220,10321220,
144,10321230,10321230,
145,10321300,10321300,
146,10321400,10321400,
147,10321500,10321500,
148,10321600,10321600,
149,10321700,10321700,
150,10321910,10321910,
151,10321920,10321920,
152,10321930,10321930,
153,10391100,10391100,
154,10391200,10391200,
155,10391330,10391330,
156,10391350,10391350,
157,10391390,10391390,
158,10391500,10391500,
159,10391600,10391600,
160,10391710,10391710,
161,10391721,10391721,
162,10391725,10391725,
163,10391730,10391730,
164,10391740,10391740,
165,10391750,10391750,
166,10391760,10391760,
167,10391770,10391770,
168,10391780,10391780,
169,10391790,10391790,
170,10391800,10391800,
171,10392100,10392100,
172,10392230,10392230,
173,10392290,10392290,
174,10392330,10392330,
175,10392390,10392390,
176,10392410,10392410,
177,10392430,10392430,
178,10392500,10392500,
179,10392910,10392910,
180,10392920,10392920,
181,10392950,10392950,
182,10393000,10393000,
183,10399100,10399100,
184,10411100,10411100,
185,10411200,10411200,
186,10411900,10411900,
187,10412110,10412110,
188,10412210,10412210,
189,10412220,10412220,
190,10412300,10412300,
191,10412410,10412410,
192,10412510,10412510,
193,10412910,10412910,
194,10413000,10413000,
195,10414130,10414130,
196,10414150,10414150,
197,10414170,10414170,
198,10414190,10414190,
199,10414200,10414200,
200,10415100,10415100,
201,10415200,10415200,
202,10415310,10415310,
203,10415330,10415330,
204,10415400,10415400,
205,10415500,10415500,
206,10415600,10415600,
207,10415700,10415700,
208,10415800,10415800,
209,10415900,10415900,
210,10416030,10416030,
211,10416050,10416050,
212,10417100,10417100,
213,10417200,10417200,
214,10421030,10421030,
215,10421050,10421050,
216,10511133,10511133,
217,10511137,10511137,
218,10511142,10511142,
219,10511148,10511148,
220,10511210,10511210,
221,10511220,10511220,
222,10511230,10511230,
223,10511240,10511240,
224,10512130,10512130,
225,10512160,10512160,
226,10512230,10512230,
227,10512260,10512260,
228,10513030,10513030,
229,10513050,10513050,
230,10513070,10513070,
231,10514030,10514030,
232,10514050,10514050,
233,10514070,10514070,
234,10515104,10515104,
235,10515108,10515108,
236,10515241,10515241,
237,10515245,10515245,
238,10515263,10515263,
239,10515265,10515265,
240,10515300,10515300,
241,10515400,10515400,
242,10515530,10515530,
243,10515560,10515560,
244,10515600,10515600,
245,10521000,10521000,
246,10611100,10611100,
247,10611230,10611230,
248,10611250,10611250,
249,10612100,10612100,
250,10612200,10612200,
251,10612300,10612300,
252,10612400,10612400,
253,10613133,10613133,
254,10613135,10613135,
255,10613230,10613230,
256,10613240,10613240,
257,10613250,10613250,
258,10613333,10613333,
259,10613335,10613335,
260,10613351,10613351,
261,10613353,10613353,
262,10613355,10613355,
263,10614010,10614010,
264,10614030,10614030,
265,10614050,10614050,
266,10614090,10614090,
267,10621111,10621111,
268,10621113,10621113,
269,10621115,10621115,
270,10621119,10621119,
271,10621130,10621130,
272,10621150,10621150,
273,10621170,10621170,
274,10621200,10621200,
275,10621310,10621310,
276,10621320,10621320,
277,10621330,10621330,
278,10621390,10621390,
279,10621430,10621430,
280,10621460,10621460,
281,10622000,10622000,
282,10711100,10711100,
283,10711200,10711200,
284,10721130,10721130,
285,10721150,10721150,
286,10721230,10721230,
287,10721253,10721253,
288,10721255,10721255,
289,10721257,10721257,
290,10721259,10721259,
291,10721910,10721910,
292,10721920,10721920,
293,10721940,10721940,
294,10721950,10721950,
295,10721990,10721990,
296,10731130,10731130,
297,10731150,10731150,
298,10731200,10731200,
299,10811100,10811100,
300,10811230,10811230,
301,10811290,10811290,
302,10811300,10811300,
303,10811430,10811430,
304,10811450,10811450,
305,10812000,10812000,
306,10821100,10821100,
307,10821200,10821200,
308,10821300,10821300,
309,10821400,10821400,
310,10822130,10822130,
311,10822150,10822150,
312,10822170,10822170,
313,10822190,10822190,
314,10822233,10822233,
315,10822235,10822235,
316,10822239,10822239,
317,10822243,10822243,
318,10822245,10822245,
319,10822253,10822253,
320,10822255,10822255,
321,10822260,10822260,
322,10822270,10822270,
323,10822280,10822280,
324,10822290,10822290,
325,10822310,10822310,
326,10822320,10822320,
327,10822330,10822330,
328,10822353,10822353,
329,10822355,10822355,
330,10822363,10822363,
331,10822365,10822365,
332,10822373,10822373,
333,10822375,10822375,
334,10822383,10822383,
335,10822390,10822390,
336,10822400,10822400,
337,10831130,10831130,
338,10831150,10831150,
339,10831170,10831170,
340,10831210,10831210,
341,10831240,10831240,
342,10831270,10831270,
343,10831300,10831300,
344,10831400,10831400,
345,10831500,10831500,
346,10841130,10841130,
347,10841190,10841190,
348,10841210,10841210,
349,10841230,10841230,
350,10841253,10841253,
351,10841255,10841255,
352,10841270,10841270,
