ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
2632,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420310,"Apparel; articles of apparel, of leather or of composition leather",8,Weight in kilograms,812322,nan,,,812322.0,,102816917.0,,,6
2633,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420321,"Clothing accessories; gloves, mittens and mitts, specially designed for use in sports, of leather or composition leather, padded",8,Weight in kilograms,136038,nan,,,136038.0,,6117335.0,,,6
2634,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420329,"Clothing accessories; gloves, mittens and mitts, n.e.c. in heading no. 4203, of leather or composition leather, not specially designed for use in sports",8,Weight in kilograms,927811,nan,,,927811.0,,25912781.0,,,6
2635,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420330,"Clothing accessories; belts and bandoliers, of leather or of composition leather",8,Weight in kilograms,376235,nan,,,376235.0,,30676071.0,,,6
2636,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420340,"Clothing accessories; of leather or of composition leather, n.e.c. in heading no. 4203",8,Weight in kilograms,206247,nan,,,206247.0,,7214896.0,,,6
2638,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420500,"Leather articles; n.e.c. in chapter 42, of leather or composition leather",8,Weight in kilograms,653600,nan,,,653600.0,,26207303.0,,,6
2640,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420600,"Articles of gut (other than silk-worm gut), of goldbeater's skin, of bladders or of tendons",8,Weight in kilograms,1135,nan,,,1135.0,,44803.0,,,6
2643,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430110,"Furskins; raw, of mink, whole, with or without head, tail or paws",8,Weight in kilograms,747,nan,,,747.0,,123431.0,,,6
2644,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430130,"Furskins; raw, of Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws",8,Weight in kilograms,60,nan,,,60.0,,29456.0,,,0
2645,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430160,"Furskins; raw, of fox, whole, with or without head, tail or paws",8,Weight in kilograms,768,nan,,,768.0,,68026.0,,,0
2646,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430180,"Furskins; raw, of animals n.e.c. in heading no. 4301, whole, with or without head, tail or paws (excluding goods of heading no. 4101, 4102 and 4103)",8,Weight in kilograms,1550,nan,,,1550.0,,634386.0,,,6
2647,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430190,"Furskins; raw, heads, tails, paws and other pieces or cuttings, suitable for furrier's use, excluding goods of heading no. 4101, 4102 and 4103",8,Weight in kilograms,7093,nan,,,,,48264.0,,,6
2649,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430211,"Furskins; tanned or dressed, of mink, whole, with or without head, tail or paws, not assembled",8,Weight in kilograms,22378,nan,,,22378.0,,6928370.0,,,0
2650,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430219,"Furskins; tanned or dressed, whole, with or without head, tail or paws, not assembled, n.e.c. in heading no. 4302, excluding goods or heading no. 4303",8,Weight in kilograms,24672,nan,,,24672.0,,7601310.0,,,0
2651,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430220,"Furskins; tanned or dressed, heads, tails, paws and other pieces or cuttings, not assembled, excluding goods of heading no. 4303",8,Weight in kilograms,26,nan,,,26.0,,51916.0,,,0
2652,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430230,"Furskins; tanned or dressed, whole skins and pieces or cuttings thereof, assembled, excluding goods of heading no. 4303",8,Weight in kilograms,6071,nan,,,6071.0,,874971.0,,,0
2654,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430310,Furskin articles; apparel and clothing accessories,8,Weight in kilograms,34353,nan,,,34353.0,,27879179.0,,,6
2655,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430390,Furskin articles; other than apparel and clothing accessories,8,Weight in kilograms,23996,nan,,,23996.0,,6353463.0,,,6
2657,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,430400,"Fur, artificial; articles thereof",8,Weight in kilograms,92637,nan,,,92637.0,,1382691.0,,,6
2660,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440111,"Wood; for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, coniferous",8,Weight in kilograms,34279355,nan,,,,,4084479.0,,,6
2661,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440112,"Wood; for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, non-coniferous",8,Weight in kilograms,1563664,nan,,,,,538328.0,,,6
2662,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440121,"Wood; for fuel, in chips or particles, coniferous, whether or not agglomerated",8,Weight in kilograms,65676556,nan,,,65676556.0,,9191708.0,,,6
2663,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440122,"Wood; for fuel, in chips or particles, non-coniferous, whether or not agglomerated",8,Weight in kilograms,120685302,nan,,,120685302.0,,3135986.0,,,6
2664,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440131,"Wood; for fuel, sawdust and wood waste and scrap, agglomerated in logs, briquettes, pellets or similar forms; wood pellets",8,Weight in kilograms,63224216,nan,,,63224216.0,,7112871.0,,,0
2665,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440139,"Wood; for fuel, sawdust and wood waste and scrap, agglomerated in logs, briquettes, pellets or similar forms; other than wood pellets",8,Weight in kilograms,46172893,nan,,,,,3286858.0,,,6
2666,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440140,"Wood; for fuel, sawdust and wood waste and scrap, not agglomerated",8,Weight in kilograms,91516987,nan,,,,,6896939.0,,,6
2668,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440210,"Wood; charcoal of bamboo (including shell or nut charcoal), whether or not agglomerated",8,Weight in kilograms,2079,nan,,,2079.0,,63798.0,,,6
2669,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440290,"Wood; charcoal of wood other than bamboo (including shell or nut charcoal), whether or not agglomerated",8,Weight in kilograms,4238875,nan,,,4238875.0,,2875660.0,,,0
2671,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440311,"Wood; coniferous species, in the rough, whether or not stripped of bark or sapwood, or roughly squared; treated with paint, stains, creosote or other preservatives",12,Volume in cubic meters,40115,nan,,,,,5006065.0,,,4
2672,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440312,"Wood; non-coniferous species, in the rough, whether or not stripped of bark or sapwood, or roughly squared; treated with paint, stains, creosote or other preservatives",12,Volume in cubic meters,2002,nan,,,1079490.0,,967514.0,,,0
2673,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440321,"Wood; coniferous species, of pine (Pinus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is 15 cm or more",12,Volume in cubic meters,246316,nan,,,,,780446.0,,,4
2674,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440322,"Wood; coniferous species, of pine (Pinus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm",1,No Quantity,0,nan,,,1050339.0,,158874.0,,,4
2675,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440323,"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is 15 cm or more",12,Volume in cubic meters,181179,nan,,,,,13033395.0,,,4
2676,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440324,"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm",12,Volume in cubic meters,131,nan,,,73406.0,,29997.0,,,0
2677,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440325,"Wood; coniferous species n.e.c in headings 4403.21 or 4403.23, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is 15 cm or more",12,Volume in cubic meters,28149,nan,,,27693018.0,,2365611.0,,,0
2678,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440326,"Wood; coniferous species n.e.c in headings 4403.22 or 4403.24, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm",12,Volume in cubic meters,70201,nan,,,51431291.0,,4722970.0,,,0
2679,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440349,"Wood, tropical; other than dark red meranti, light red meranti and meranti bakau, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated",12,Volume in cubic meters,556,nan,,,80202.0,,129216.0,,,0
2680,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440391,"Wood; oak, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated",12,Volume in cubic meters,2365,nan,,,372571.0,,347154.0,,,0
2681,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440393,"Wood; of beech (Fagus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is 15 cm or more",12,Volume in cubic meters,637,nan,,,758319.0,,344412.0,,,0
2682,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440394,"Wood; of beech (Fagus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm",12,Volume in cubic meters,2104,nan,,,237393.0,,35901.0,,,6
2683,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440396,"Wood; of birch (Betula spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm",12,Volume in cubic meters,113,nan,,,,,35387.0,,,4
2684,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440397,"Wood; of poplar and aspen (Populus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated",12,Volume in cubic meters,763,nan,,,,,85774.0,,,4
2685,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440399,"Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, n.e.c. in heading no. 4403",12,Volume in cubic meters,455415,nan,,,,,2495068.0,,,4
2687,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440410,"Wood; coniferous, split poles, piles, pickets, stakes, pointed but not sawn lengthwise; sticks for umbrellas, tool handles etc, roughly trimmed but not turned or bent; chipwood etc, hoopwood",8,Weight in kilograms,8367286,nan,,,,,2811961.0,,,6
2688,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440420,"Wood; non-coniferous, split poles, piles, pickets, stakes, pointed but not sawn lengthwise; sticks for umbrellas, tool handles etc, roughly trimmed but not turned or bent; chipwood etc, hoopwood",8,Weight in kilograms,6814336,nan,,,6814336.0,,6057505.0,,,0
2690,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440500,Wood; wood wool and wood flour,8,Weight in kilograms,521615,nan,,,521615.0,,1119131.0,,,0
2692,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440611,"Wood; railway or tramway sleepers (cross-ties), not impregnated, coniferous",12,Volume in cubic meters,140,nan,,,107389.0,,24442.0,,,0
2693,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440612,"Wood; railway or tramway sleepers (cross-ties), not impregnated, non-coniferous",12,Volume in cubic meters,896,nan,,,206996.0,,209883.0,,,0
2694,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440691,"Wood; railway or tramway sleepers (cross-ties), impregnated, coniferous",12,Volume in cubic meters,9822,nan,,,577752.0,,452365.0,,,0
2695,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440692,"Wood; railway or tramway sleepers (cross-ties), impregnated, non-coniferous",12,Volume in cubic meters,243,nan,,,252700.0,,65328.0,,,0
2697,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440711,"Wood; coniferous species, of pine (Pinus spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",12,Volume in cubic meters,131717,nan,,,32849218.0,,18981396.0,,,6
2698,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440712,"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",1,No Quantity,0,nan,,,59552348.0,,38795522.0,,,6
2699,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440719,"Wood; coniferous species, other than of pine (Pinus spp.) or fir (Abies spp.) or spruce (Picea spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",12,Volume in cubic meters,7292,nan,,,3536645.0,,1907309.0,,,0
2700,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440721,"Wood, tropical; as specified in Subheading Note 2 to this Chapter, mahogany (Swietenia spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm",12,Volume in cubic meters,112,nan,,,103458.0,,127383.0,,,6
2701,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440722,"Wood, tropical; virola, imbuia and balsa, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm",12,Volume in cubic meters,141,nan,,,7941.0,,4853.0,,,6
2702,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440725,"Wood, tropical; dark red meranti, light red meranti and meranti bakau, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm",12,Volume in cubic meters,166,nan,,,68108.0,,158185.0,,,0
2703,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,440727,"Wood, tropical; sapelli, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm",12,Volume in cubic meters,1385,nan,,,897877.0,,1620645.0,,,0
