ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
47,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20321,"Meat; of swine, carcasses and half-carcasses, frozen",8,Weight in kilograms,968369,nan,,,968369.0,,4073991.0,,,0
48,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,3202084,nan,,,3202084.0,,7849053.0,,,0
49,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",8,Weight in kilograms,98809196,nan,,,98809196.0,,245981138.0,,,0
51,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,1795016,nan,,,1795016.0,,5409592.0,,,0
52,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",8,Weight in kilograms,242836,nan,,,242836.0,,944881.0,,,0
53,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,20893869,nan,,,20893869.0,,163661304.0,,,0
54,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",8,Weight in kilograms,8410883,nan,,,8410883.0,,65217067.0,,,0
55,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",8,Weight in kilograms,1102036,nan,,,1102036.0,,5502729.0,,,0
56,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",8,Weight in kilograms,142713,nan,,,142713.0,,861293.0,,,0
57,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,27151445,nan,,,27151445.0,,165293189.0,,,6
